Time,GuiPids,GuiPrivateBytes,GuiCPU,CorePids,CorePrivateBytes,CoreCPU,Ports
2026-09-06T23:59:07.4571859+08:00,[19264],[158842880],[6.546875],[432],[72151040],[12.015625],"[7890, 7891, 9090]"
2026-09-06T23:59:12.5153301+08:00,[19264],[158842880],[6.5625],[432],[72192000],[12.03125],"[7890, 7891, 9090]"
2026-09-06T23:59:17.5823673+08:00,[19264],[158842880],[6.59375],[432],[72192000],[12.078125],"[7890, 7891, 9090]"
2026-09-06T23:59:22.6474899+08:00,[19264],[158842880],[6.59375],[432],[72192000],[12.078125],"[7890, 7891, 9090]"
2026-09-06T23:59:27.7017068+08:00,[19264],[158842880],[6.609375],[432],[72192000],[12.109375],"[7890, 7891, 9090]"
2026-09-06T23:59:32.7585074+08:00,[19264],[158842880],[6.625],[432],[72192000],[12.234375],"[7890, 7891, 9090]"
2026-09-06T23:59:37.8948272+08:00,[19264],[158842880],[6.65625],[432],[72253440],[12.28125],"[7890, 7891, 9090]"
2026-09-06T23:59:43.0105984+08:00,[19264],[158842880],[6.671875],[432],[72253440],[12.296875],"[7890, 7891, 9090]"
2026-09-06T23:59:48.1100092+08:00,[19264],[158842880],[6.703125],[432],[72253440],[12.296875],"[7890, 7891, 9090]"
2026-09-06T23:59:53.1937424+08:00,[19264],[158842880],[6.734375],[432],[72253440],[12.3125],"[7890, 7891, 9090]"
2026-09-06T23:59:58.2718747+08:00,[19264],[158842880],[6.75],[432],[72253440],[12.328125],"[7890, 7891, 9090]"
2026-09-07T00:00:03.3340086+08:00,[19264],[158842880],[6.75],[432],[72327168],[12.359375],"[7890, 7891, 9090]"
2026-09-07T00:00:08.3852177+08:00,[19264],[158842880],[6.75],[432],[72327168],[12.375],"[7890, 7891, 9090]"
2026-09-07T00:00:13.4733893+08:00,[19264],[158777344],[6.765625],[432],[72335360],[12.484375],"[7890, 7891, 9090]"
2026-09-07T00:00:18.5361291+08:00,[19264],[158777344],[6.765625],[432],[72335360],[12.53125],"[7890, 7891, 9090]"
2026-09-07T00:00:23.6188906+08:00,[19264],[158777344],[6.78125],[432],[72335360],[12.578125],"[7890, 7891, 9090]"
2026-09-07T00:00:28.6989316+08:00,[19264],[158777344],[6.78125],[432],[72335360],[12.59375],"[7890, 7891, 9090]"
2026-09-07T00:00:33.7690379+08:00,[19264],[158810112],[6.796875],[432],[72335360],[12.6875],"[7890, 7891, 9090]"
2026-09-07T00:00:38.8378692+08:00,[19264],[158810112],[6.8125],[432],[72335360],[12.78125],"[7890, 7891, 9090]"
2026-09-07T00:00:43.9082179+08:00,[19264],[158810112],[6.8125],[432],[72335360],[12.796875],"[7890, 7891, 9090]"
2026-09-07T00:00:48.9673158+08:00,[19264],[158810112],[6.828125],[432],[72261632],[12.8125],"[7890, 7891, 9090]"
2026-09-07T00:00:54.0380807+08:00,[19264],[158810112],[6.84375],[432],[72298496],[12.859375],"[7890, 7891, 9090]"
2026-09-07T00:00:59.0794021+08:00,[19264],[158810112],[6.875],[432],[72298496],[12.953125],"[7890, 7891, 9090]"
2026-09-07T00:01:04.1534009+08:00,[19264],[158810112],[6.90625],[432],[72298496],[12.96875],"[7890, 7891, 9090]"
2026-09-07T00:01:09.2014276+08:00,[19264],[158810112],[6.90625],[432],[72298496],[12.984375],"[7890, 7891, 9090]"
2026-09-07T00:01:14.2626547+08:00,[19264],[158810112],[6.9375],[432],[72298496],[13.046875],"[7890, 7891, 9090]"
2026-09-07T00:01:19.2899145+08:00,[19264],[158810112],[6.9375],[432],[72298496],[13.234375],"[7890, 7891, 9090]"
2026-09-07T00:01:24.3466921+08:00,[19264],[158810112],[6.9375],[432],[72298496],[13.296875],"[7890, 7891, 9090]"
2026-09-07T00:01:29.3983732+08:00,[19264],[158810112],[6.953125],[432],[72298496],[13.390625],"[7890, 7891, 9090]"
2026-09-07T00:01:34.4443944+08:00,[19264],[158810112],[6.96875],[432],[72298496],[13.421875],"[7890, 7891, 9090]"
2026-09-07T00:01:39.4743970+08:00,[19264],[159866880],[6.984375],[432],[72298496],[13.59375],"[7890, 7891, 9090]"
2026-09-07T00:01:44.5358124+08:00,[19264],[158810112],[7],[432],[72298496],[13.625],"[7890, 7891, 9090]"
2026-09-07T00:01:49.5985789+08:00,[19264],[158810112],[7.015625],[432],[72298496],[13.625],"[7890, 7891, 9090]"
2026-09-07T00:01:54.6536046+08:00,[19264],[158810112],[7.03125],[432],[72421376],[13.75],"[7890, 7891, 9090]"
2026-09-07T00:01:59.6865712+08:00,[19264],[158810112],[7.0625],[432],[72552448],[13.859375],"[7890, 7891, 9090]"
2026-09-07T00:02:04.7451523+08:00,[19264],[158810112],[7.078125],[432],[72552448],[13.9375],"[7890, 7891, 9090]"
2026-09-07T00:02:09.7987420+08:00,[19264],[158810112],[7.09375],[432],[72552448],[13.984375],"[7890, 7891, 9090]"
2026-09-07T00:02:14.8164141+08:00,[19264],[158810112],[7.125],[432],[72585216],[14.140625],"[7890, 7891, 9090]"
2026-09-07T00:02:19.8774205+08:00,[19264],[158810112],[7.125],[432],[70094848],[14.328125],"[7890, 7891, 9090]"
2026-09-07T00:02:24.9024838+08:00,[19264],[158810112],[7.140625],[432],[70094848],[14.46875],"[7890, 7891, 9090]"
2026-09-07T00:02:29.9385903+08:00,[19264],[158781440],[7.171875],[432],[70094848],[14.546875],"[7890, 7891, 9090]"
2026-09-07T00:02:35.0211356+08:00,[19264],[158810112],[7.1875],[432],[70094848],[14.578125],"[7890, 7891, 9090]"
2026-09-07T00:02:40.0921988+08:00,[19264],[158810112],[7.203125],[432],[70094848],[14.65625],"[7890, 7891, 9090]"
2026-09-07T00:02:45.1573984+08:00,[19264],[158810112],[7.21875],[432],[70094848],[14.75],"[7890, 7891, 9090]"
2026-09-07T00:02:50.2195527+08:00,[19264],[158810112],[7.25],[432],[70094848],[14.796875],"[7890, 7891, 9090]"
2026-09-07T00:02:55.2574592+08:00,[19264],[158810112],[7.265625],[432],[70094848],[14.984375],"[7890, 7891, 9090]"
2026-09-07T00:03:00.3110779+08:00,[19264],[158810112],[7.28125],[432],[70057984],[15.03125],"[7890, 7891, 9090]"
2026-09-07T00:03:05.3659569+08:00,[19264],[158810112],[7.296875],[432],[70057984],[15.15625],"[7890, 7891, 9090]"
2026-09-07T00:03:10.4018645+08:00,[19264],[158810112],[7.328125],[432],[70057984],[15.1875],"[7890, 7891, 9090]"
2026-09-07T00:03:15.4334165+08:00,[19264],[158810112],[7.34375],[432],[70057984],[15.234375],"[7890, 7891, 9090]"
2026-09-07T00:03:20.5096129+08:00,[19264],[158810112],[7.359375],[432],[70057984],[15.28125],"[7890, 7891, 9090]"
2026-09-07T00:03:25.5349105+08:00,[19264],[158810112],[7.359375],[432],[70094848],[15.296875],"[7890, 7891, 9090]"
2026-09-07T00:03:30.5849980+08:00,[19264],[158810112],[7.375],[432],[70184960],[15.34375],"[7890, 7891, 9090]"
2026-09-07T00:03:35.6676111+08:00,[19264],[158810112],[7.421875],[432],[70479872],[15.40625],"[7890, 7891, 9090]"
2026-09-07T00:03:40.7114785+08:00,[19264],[158810112],[7.4375],[432],[71135232],[15.609375],"[7890, 7891, 9090]"
2026-09-07T00:03:45.7493481+08:00,[19264],[158810112],[7.453125],[432],[71200768],[15.609375],"[7890, 7891, 9090]"
2026-09-07T00:03:50.8184099+08:00,[19264],[158810112],[7.46875],[432],[71274496],[15.671875],"[7890, 7891, 9090]"
2026-09-07T00:03:55.8891795+08:00,[19264],[158810112],[7.5],[432],[71438336],[15.703125],"[7890, 7891, 9090]"
2026-09-07T00:04:00.9589359+08:00,[19264],[158810112],[7.515625],[432],[71438336],[15.703125],"[7890, 7891, 9090]"
2026-09-07T00:04:06.0243383+08:00,[19264],[158810112],[7.53125],[432],[71438336],[15.765625],"[7890, 7891, 9090]"
2026-09-07T00:04:11.0629285+08:00,[19264],[158810112],[7.546875],[432],[71438336],[15.8125],"[7890, 7891, 9090]"
2026-09-07T00:04:16.1218909+08:00,[19264],[159866880],[7.5625],[432],[71438336],[15.828125],"[7890, 7891, 9090]"
2026-09-07T00:04:21.1686138+08:00,[19264],[158810112],[7.578125],[432],[71438336],[15.859375],"[7890, 7891, 9090]"
2026-09-07T00:04:26.2649438+08:00,[19264],[158810112],[7.59375],[432],[71438336],[15.859375],"[7890, 7891, 9090]"
2026-09-07T00:04:31.3526140+08:00,[19264],[158810112],[7.609375],[432],[71438336],[15.875],"[7890, 7891, 9090]"
2026-09-07T00:04:36.4267566+08:00,[19264],[158810112],[7.625],[432],[71438336],[15.875],"[7890, 7891, 9090]"
2026-09-07T00:04:41.4777010+08:00,[19264],[158781440],[7.640625],[432],[71438336],[15.875],"[7890, 7891, 9090]"
2026-09-07T00:04:46.5373521+08:00,[19264],[158781440],[7.65625],[432],[71438336],[15.921875],"[7890, 7891, 9090]"
2026-09-07T00:04:51.5732204+08:00,[19264],[158781440],[7.671875],[432],[71438336],[15.96875],"[7890, 7891, 9090]"
2026-09-07T00:04:56.6501411+08:00,[19264],[158781440],[7.703125],[432],[71438336],[16.015625],"[7890, 7891, 9090]"
2026-09-07T00:05:01.6870351+08:00,[19264],[158781440],[7.734375],[432],[71438336],[16.046875],"[7890, 7891, 9090]"
2026-09-07T00:05:06.7567982+08:00,[19264],[158810112],[7.75],[432],[71438336],[16.046875],"[7890, 7891, 9090]"
2026-09-07T00:05:11.8289875+08:00,[19264],[158810112],[7.765625],[432],[71438336],[16.046875],"[7890, 7891, 9090]"
2026-09-07T00:05:16.8846472+08:00,[19264],[158810112],[7.78125],[432],[71401472],[16.046875],"[7890, 7891, 9090]"
2026-09-07T00:05:21.9760320+08:00,[19264],[158810112],[7.8125],[432],[71401472],[16.078125],"[7890, 7891, 9090]"
2026-09-07T00:05:27.0323221+08:00,[19264],[158810112],[7.828125],[432],[71438336],[16.078125],"[7890, 7891, 9090]"
2026-09-07T00:05:32.1020373+08:00,[19264],[158810112],[7.84375],[432],[71438336],[16.171875],"[7890, 7891, 9090]"
2026-09-07T00:05:37.1504962+08:00,[19264],[158810112],[7.859375],[432],[71438336],[16.234375],"[7890, 7891, 9090]"
